snoring range;respiration rate;body temperature;limb movement;blood oxygen;eye movement;hours of sleep;heart rate;Stress Levels
0.6141935483870967;0.7217068645640073;-0.23236455249077884;0.7775314116777534;-0.20068459657701898;0.5525891829689294;-0.3099075125589279;0.7226578943265624;3
0.5584516129032259;0.6326530612244896;-0.2903355669835319;0.6774480088420569;-0.25098148794970443;0.5111622554660527;-0.3629083223077232;0.633604090987045;3
-0.25806451612903225;-0.15646258503401367;0.6049945457378857;-0.13989978098279718;0.7004680405169379;-0.2874568469505174;0.6396903287736541;-0.1555115552714587;1
0.406709677419355;0.3902288188002475;-0.44814555088047386;0.40499874556710547;-0.3879008033531285;0.39838895281933273;-0.5071883044016658;0.3911798485628024;3
-0.5646451612903226;-0.5819418676561533;0.981806139940785;-0.6269723414498529;0.9184212364652448;-1.0078250863060978;0.8693605043517667;-0.5809908378935986;0
-0.3385806451612903;-0.2529375386518242;0.4793906810035869;-0.22663873010706748;0.5370031435557072;-0.37721518987341734;0.5248552409845977;-0.2519865088892696;1
-0.5935483870967742;-0.6512059369202226;0.8465404394576936;-0.7515205760898308;0.8401816276632874;-1.2655926352128875;0.7869148002980852;-0.6502549071576676;0
-0.5161290322580645;-0.4656771799628943;1.2088592800374038;-0.41790923330417606;1.049752008382813;-0.5751438434982733;1.0077515075847323;-0.4647261502003393;0
-0.6379354838709678;-0.7575757575757579;0.63881097085866;-0.9427910792869394;0.720027942717426;-1.6614499424625997;0.6603017547870744;-0.7566247278132026;0
-0.3736774193548386;-0.29499072356215233;0.4246402784270961;-0.26444801562277503;0.46574921411107095;-0.41634062140391176;0.474798920666291;-0.2940396937995973;1
0.08877419354838703;0.051329622758194304;0.07037296763804443;0.046922570977169356;0.061976947258117386;0.09919447640966644;0.09054304998752526;0.052280652520749024;2
-0.27664516129032257;-0.17872603586889282;0.5760090384915078;-0.15991646154993647;0.6627453719874244;-0.3081703107019558;0.6131899238992563;-0.1777750061063381;1
-0.552258064516129;-0.5522572665429807;1.0397771544335381;-0.5735945266041482;0.8744952846664324;-0.8973532796317595;0.9046943775176303;-0.5513062367804258;0
0.45935483870967736;0.47433518862090257;-0.3933951483039831;0.4995219593563742;-0.3403981837233685;0.4375143843498271;-0.4571319840833592;0.4752862183834579;3
-0.45625806451612905;-0.3939393939393942;0.29581580177653216;-0.3534110403656161;0.2980929095354496;-0.5084004602991941;0.35701934344674596;-0.39298836417683924;1
-0.448;-0.38404452690167;0.30869824944158997;-0.34451473789133197;0.3148585399930122;-0.49919447640966613;0.4563546388737101;-0.38309349713911484;1
0.41909677419354824;0.4100185528756959;-0.4352631032154189;0.4272395017528158;-0.3767237163814217;0.4075949367088607;-0.49541034667971134;0.41096958263825034;3
0.2983225806451614;0.2170686456400742;-0.5608669679497177;0.21039212894214018;-0.48570031435557387;0.31783659378596074;-0.6102454344687678;0.4652899695113315;3
-0.1630967741935484;-0.09956709956709986;-0.1260843592540653;-0.00021698298717741485;-0.10847362906042946;-0.18158803222094302;-0.17887773290218403;-0.09861606980454457;2
0.19612903225806436;0.11564625850340153;0.15410887746091317;0.10474853706001622;0.13462801257422133;0.0;0.2053781377765816;0.11659728826595658;2
0.1878709677419355;0.11069882498453944;0.14766765362838283;0.10030038582287415;0.12903946908836544;0.2096662830840048;0.19654466948511573;0.11164985474709371;2
-0.006193548387096642;-0.005565862708720062;0.0;-0.0042311682499641574;-0.002291302829202742;-0.006674338319907917;-0.011041835364332358;-0.004614832946165111;2
0.4655483870967744;0.48423005565862676;-0.3869539244714556;0.5106423374492294;-0.33480964023751514;0.4421173762945919;-0.4512430052223819;0.4851810854211819;3
0.5150967741935483;0.5633889919604202;-0.33542413381123004;0.4855536795568124;-0.29010129235068305;0.4305718551769388;-0.40413117433456386;0.5643400217229754;3
-0.42116129032258065;-0.35188620902906614;0.35056620435302294;-0.31560175484990854;0.3693468389800883;-0.4692750287686989;0.4070756637650525;-0.350935179266511;1
